Menge;AccountingMonth;Produktionsstandort;Vertriebsweg;Landeskürzel;Land;Gruppe
0;201404;Standort1;direkt;DE;Deutschland;3
2;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
3;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
5;201405;Standort1;direkt;MY;Malaysia;3
1;201404;Standort1;direkt;MY;Malaysia;3
10;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
3;201404;Standort1;direkt;DE;Deutschland;3
10;201404;Standort1;direkt;DE;Deutschland;3
2;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
3;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201406;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
10;201404;Standort1;direkt;DE;Deutschland;3
3;201404;Standort1;direkt;ID;Indonesien;3
10;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201404;Standort1;direkt;DE;Deutschland;3
12;201404;Standort1;direkt;DE;Deutschland;3
2;201404;Standort1;direkt;KW;Kuwait;3
20;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
34;201405;Standort1;direkt;KW;Kuwait;3
117;201405;Standort1;direkt;KW;Kuwait;3
4;201404;Standort1;direkt;MY;Malaysia;3
7;201404;Standort1;direkt;DE;Deutschland;3
2;201404;Standort1;direkt;KW;Kuwait;3
2;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
4;201405;Standort1;direkt;DE;Deutschland;3
0;201404;Standort1;direkt;DE;Deutschland;3
23;201504;Standort1;direkt;KW;Kuwait;3
112;201504;Standort1;direkt;KW;Kuwait;3
112;201409;Standort1;direkt;KW;Kuwait;3
23;201408;Standort1;direkt;KW;Kuwait;3
23;201410;Standort1;direkt;KW;Kuwait;3
112;201410;Standort1;direkt;KW;Kuwait;3
18;201406;Standort1;direkt;KW;Kuwait;3
72;201406;Standort1;direkt;KW;Kuwait;3
18;201407;Standort1;direkt;KW;Kuwait;3
72;201407;Standort1;direkt;KW;Kuwait;3
23;201505;Standort1;direkt;KW;Kuwait;3
43;201505;Standort1;direkt;KW;Kuwait;3
68;201505;Standort1;direkt;KW;Kuwait;3
1;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201404;Standort1;direkt;KW;Kuwait;3
2;201404;Standort1;direkt;KW;Kuwait;3
10;201405;Standort1;direkt;ID;Indonesien;3
0;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
4;201405;Standort1;direkt;KW;Kuwait;3
1;201405;Standort1;direkt;DE;Deutschland;3
17;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
6;201405;Standort1;direkt;DE;Deutschland;3
6;201405;Standort1;direkt;DE;Deutschland;3
15;201406;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
3;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
6;201405;Standort1;direkt;MY;Malaysia;3
6;201405;Standort1;direkt;MY;Malaysia;3
1;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
28;201405;Standort1;direkt;KW;Kuwait;3
34;201405;Standort1;direkt;KW;Kuwait;3
1;201406;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201405;Standort1;direkt;KW;Kuwait;3
14;201405;Standort1;direkt;DE;Deutschland;3
6;201405;Standort1;direkt;DE;Deutschland;3
1;201405;Standort1;direkt;DE;Deutschland;3
2;201405;Standort1;direkt;KW;Kuwait;3
2;201407;Standort1;direkt;DE;Deutschland;3
2;201405;Standort1;direkt;MY;Malaysia;3
1;201405;Standort1;direkt;DE;Deutschland;3
